"Sample.Size","Mixing","Separation","Strategy","param","Class 1","Class 2","Class 3"
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Complete data","Y1",0.908715516483903,0.355487973488223,-0.0752143341458803
"Small Sample (N=300)","Equal Mix.","Weakly Separated","FIML","Y1",1,1,1
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y1",-4.4946289358032,-2.76643149781797,-0.443465723742206
"Small Sample (N=300)","Equal Mix.","Weakly Separated","EMS-MVN.","Y1",-0.20141600170881,0.5676042333644,0.790895481010691
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-PMM","Y1",0.391657205756174,0.28353200737714,0.606018068923981
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-CART","Y1",1.52207295475855,-0.410198605855774,0.259615215312976
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-RF","Y1",0.180504332955074,-0.639614296561449,0.305738430108326
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Complete data","Y1",-1.78636414691677,0.192762054418983,-0.0128159958395505
"Small Sample (N=300)","Equal Mix.","Strongly Separated","FIML","Y1",1,1,1
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y1",-45.1255432022895,-2.41378685077868,-0.269790946223029
"Small Sample (N=300)","Equal Mix.","Strongly Separated","EMS-MVN.","Y1",-23.7416950241306,0.242527935225927,0.723711145794526
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-PMM","Y1",-17.6042254029595,0.438158418838981,0.568766165012055
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-CART","Y1",-7.02987878543735,0.00632867936807005,0.393624380107682
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-RF","Y1",-28.9460380647925,-0.57528599992771,0.289067713815439
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Complete data","Y1",0.516498359230969,0.251990290112701,-0.273339504490961
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","FIML","Y1",1,1,1
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y1",-3.45068398576714,-4.38926588167703,-3.4820622118773
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y1",0.97945408912904,0.665491665445216,-0.786104040471003
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-PMM","Y1",1.15843620378179,0.223312925441873,-1.61942719635869
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-CART","Y1",1.68870481505673,-0.409378984779885,-3.07286640121289
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-RF","Y1",0.845943822750252,-0.68067742800302,-2.36427062596647
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Complete data","Y1",0.310477716744236,-0.0144248485659007,-0.0566132491629308
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","FIML","Y1",1,1,1
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y1",-4.87638082657867,-4.78735766717192,-1.5643518295153
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y1",-0.154639444596291,0.29323307972178,0.0660058817436475
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-PMM","Y1",0.312361076826014,0.299902013983682,-0.372879008054781
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-CART","Y1",0.864424878770029,-0.133605515293343,-0.295805317197713
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-RF","Y1",-0.899468482401932,-1.16386797722516,-0.496675702553197
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Complete data","Y1",-0.0512455177982,-0.0611499907127645,0.013042005637072
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","FIML","Y1",1,1,1
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y1",-8.87936666201986,-2.18063802643262,-0.0679999461841924
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","EMS-MVN.","Y1",-2.81497898411341,0.316555796176781,0.896636521426219
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-PMM","Y1",-2.16323715893709,0.344702005812021,0.709474944476177
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-CART","Y1",-0.915995820569447,-0.0993455962677103,0.284097159207869
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-RF","Y1",-2.85650376386217,-0.403266518559323,0.352403254744545
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Complete data","Y1",0.223123732251521,-0.00289572660475281,0.00986965664396931
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","FIML","Y1",1,1,1
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y1",-13.5767839524592,-2.88015279023815,-0.104727292126414
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","EMS-MVN.","Y1",-8.22814825742209,0.0176493815985855,0.777856616145443
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-PMM","Y1",-5.93150396459524,0.437244992877846,0.595419111879094
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-CART","Y1",-2.50175769869076,-0.0317109907220802,0.288786135646786
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-RF","Y1",-7.1735043333948,-0.627060047037985,0.291177723200991
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Complete data","Y1",0.112424359469551,-0.0199500396654816,-0.00960890122132745
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","FIML","Y1",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y1",-3.38138577468852,-3.48950469871002,-0.968999758364578
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y1",0.148347287443132,0.597903669470839,0.651102463748808
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-PMM","Y1",0.499141958368921,0.412362623068497,0.11798321292412
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-CART","Y1",0.570196115186597,-0.0420994590604252,0.0300596550633527
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-RF","Y1",-0.0275495827148975,-0.384755288743786,0.035622704409967
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Complete data","Y1",0.0255328552200727,-0.0518649549954235,-0.0450758004445678
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","FIML","Y1",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y1",-5.4276674931709,-4.11329436105056,-0.891701869390815
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y1",-1.52475039675365,0.174349967431146,0.403949321792781
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-PMM","Y1",-0.470572932361036,0.386715478542912,-0.0892813904769212
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-CART","Y1",-0.346171477932461,-0.0846181428245251,0.171687610178795
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-RF","Y1",-1.70241748528496,-0.730119233130005,0.0452188102111684
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Complete data","Y2",-1.69845425361156,0.142412564496225,-0.0937079807717738
"Small Sample (N=300)","Equal Mix.","Weakly Separated","FIML","Y2",1,1,1
"Small Sample (N=300)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y2",-40.8198168965296,-3.74603060906586,1.40488070096875
"Small Sample (N=300)","Equal Mix.","Weakly Separated","EMS-MVN.","Y2",-12.6683069833947,-0.52308526224375,0.721824273464106
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-PMM","Y2",-12.1318694922368,-0.68895045843025,0.601830958463906
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-CART","Y2",1.86118384240057,-0.474466039987142,0.415045070318686
"Small Sample (N=300)","Equal Mix.","Weakly Separated","MICE-RF","Y2",-2.63673057745332,-0.465053217364807,0.765680981809536
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Complete data","Y2",0.133259094283593,0.0342699658264227,0.00127103550738059
"Small Sample (N=300)","Equal Mix.","Strongly Separated","FIML","Y2",1,1,1
"Small Sample (N=300)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y2",-13.1125966531834,-5.72279669213297,1.01007393248077
"Small Sample (N=300)","Equal Mix.","Strongly Separated","EMS-MVN.","Y2",-7.36766909708526,-1.48518251587373,0.658918810654869
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-PMM","Y2",-7.95298636753276,-1.17322438212893,0.39562608104355
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-CART","Y2",-0.454764541647427,-0.242447562712695,0.410891504276925
"Small Sample (N=300)","Equal Mix.","Strongly Separated","MICE-RF","Y2",-2.23137438417309,-0.575021669030569,0.755966900530283
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Complete data","Y2",0.239630210421423,0.418678094510298,0.0672855445642428
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","FIML","Y2",1,1,1
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y2",-13.6946806306414,-5.14358509037106,1.75919022827695
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y2",-0.81940825418153,-0.0106435442460639,0.891257857446935
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-PMM","Y2",0.25844631530972,0.201531651461261,0.743825119016803
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-CART","Y2",1.86779395374003,-0.372355938668168,0.304309034361216
"Small Sample (N=300)","Unequal Mix.","Weakly Separated","MICE-RF","Y2",0.728903942953489,-0.00581655119628932,0.699914935877855
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Complete data","Y2",0.167418685121107,0.115325009073935,0.00196347935636665
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","FIML","Y2",1,1,1
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y2",-18.1658627185536,-5.38056066407117,1.28397267004255
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y2",-3.76564886074668,-0.397315248350029,1.05040515082494
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-PMM","Y2",-0.839187048290494,0.283722074681376,0.826761781642411
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-CART","Y2",1.58374406505854,0.173131006075879,0.586930295832283
"Small Sample (N=300)","Unequal Mix.","Strongly Separated","MICE-RF","Y2",-0.187426677045712,0.343564455519127,0.998207693402228
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Complete data","Y2",-0.0903467288253357,-0.0244033112702029,0.0231004045314057
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","FIML","Y2",1,1,1
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","Pattern Mixture Model","Y2",-8.88932780380019,-4.38026398783643,1.11376557290397
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","EMS-MVN.","Y2",-4.16896048591344,-1.3015690631611,0.76158415567115
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-PMM","Y2",-3.92921263195643,-1.06001771379613,0.597997745299011
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-CART","Y2",-0.067416007351458,-0.11041153759199,0.332994788758381
"Large Sample (N=1200)","Equal Mix.","Weakly Separated","MICE-RF","Y2",-0.553574646435215,-0.323421285997504,0.619199642223451
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Complete data","Y2",0.103319202669793,-0.00626085168815988,0.0319269089510948
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","FIML","Y2",1,1,1
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","Pattern Mixture Model","Y2",-17.7254476325235,-5.02131031288436,1.14077373800546
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","EMS-MVN.","Y2",-11.9269942274736,-1.64841648363333,0.684977531786786
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-PMM","Y2",-13.0270871290701,-1.14190364996495,0.348204545567083
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-CART","Y2",-1.45636421033643,0.0011000815987144,0.276911861939365
"Large Sample (N=1200)","Equal Mix.","Strongly Separated","MICE-RF","Y2",-2.9211306034094,-0.27121972786686,0.568674112134711
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Complete data","Y2",0.129562079014919,0.0990825571890253,0.00534180197571633
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","FIML","Y2",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","Pattern Mixture Model","Y2",-7.59468041896907,-3.43353906896834,1.68861272527052
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","EMS-MVN.","Y2",-1.70353800841356,-0.373233773526129,1.25928525460525
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-PMM","Y2",0.256421420571265,0.217648077650522,1.21092622659269
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-CART","Y2",0.687713437085444,0.378899019946528,0.490918838823786
"Large Sample (N=1200)","Unequal Mix.","Weakly Separated","MICE-RF","Y2",0.364193852173537,0.305551740629455,0.806486486452176
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Complete data","Y2",-0.156599690880989,-0.0275116047192342,-0.00296916327281362
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","FIML","Y2",1,1,1
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","Pattern Mixture Model","Y2",-21.2681049616893,-4.60604725977412,1.29215059940465
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","EMS-MVN.","Y2",-9.75535826893354,-0.893380567725138,1.12896729053282
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-PMM","Y2",-3.29886800618238,0.120947285754682,0.924580390256878
"Large Sample (N=1200)","Unequal Mix.","Strongly Separated","MICE-CART","Y2",-0.597421947449768,0.119391524303993,0.38714259254808
